Jenis Sampah,Metode Pengolahan,Kategori,Deskripsi
Jenis Sampah,Metode Pengolahan,Kategori,Deskripsi 
Plastik,Ecobrick,Anorganik Kreatif,Plastik non-daun ulang seperti pembungkus makanan dimasukkan ke dalam botol plastik padat untuk dijadikan bahan bangunan alternatif. 
Plastik,Pirolisis,Anorganik Energi,Plastik yang tidak bisa didaur ulang dapat dikonversi menjadi bahan bakar cair melalui proses pirolisis tanpa oksigen. 
Plastik,Upcycling menjadi tas atau dompet,Anorganik Kreatif,Kantong kresek dan bungkus kopi bekas dapat dijahit ulang menjadi produk fashion seperti tas belanja. 
Plastik,Penggunaan ulang langsung,Anorganik,Wadah plastik seperti ember dan galon bekas dapat digunakan kembali untuk keperluan rumah tangga. 
Plastik,Pengumpulan terpilah dan dijual ke bank sampah,Anorganik Daur Ulang,Sampah plastik yang dipilah memiliki nilai ekonomi jika dijual ke bank sampah untuk proses daur ulang lebih lanjut. 
Plastik,Teknologi RDF (Refused-Derived Fuel),Anorganik Energi,Sampah plastik dapat dicampur dengan sampah kertas untuk dijadikan bahan bakar alternatif pada industri semen. 
Plastik,Kompresi menjadi papan plastik,Anorganik,Sampah plastik dikompresi dan dicetak menjadi papan untuk furnitur atau partisi dinding alternatif. 
Plastik,Biodegradasi menggunakan bakteri pengurai plastik,Anorganik Eksperimental,Penelitian menunjukkan bahwa jenis tertentu bakteri dapat mengurai plastik tertentu dalam kondisi laboratorium terkendali. 
Alas Kaki,Daur ulang sol menjadi bahan playground,Anorganik,Sepatu bekas dihancurkan dan sol karetnya digunakan sebagai permukaan lapangan bermain atau jogging track. 
Alas Kaki,Upcycling menjadi pot tanaman,Anorganik Kreatif,Sepatu lama digunakan sebagai pot tanaman unik untuk taman vertikal atau dekorasi taman rumah. 
Alas Kaki,Donasi untuk daur ulang,Anorganik,Beberapa organisasi menerima sepatu bekas untuk dipilah dan didaur ulang menjadi produk baru atau didonasikan. 
Alas Kaki,Produksi energi dari sol karet,Anorganik Energi,Sol sepatu karet dihancurkan dan digunakan dalam pembakaran untuk menghasilkan energi pada insinerator tertentu. 
Alas Kaki,Komposisi ulang jadi bahan lantai karet,Anorganik,Sol sepatu bekas dapat digunakan kembali sebagai material lantai karet di tempat gym atau ruang olahraga. 
Alas Kaki,Pemisahan bahan tekstil dan karet,Anorganik,Sepatu dibongkar untuk memisahkan bahan karet dan kain sebelum didaur ulang sesuai jenisnya. 
Alas Kaki,Edukasi daur ulang kreatif,Anorganik Kreatif,Proyek sekolah memanfaatkan sepatu bekas sebagai media edukasi untuk kreasi seni dan ekologi. 
Alas Kaki,Penampungan daur ulang komunitas,Anorganik,Komunitas warga mengumpulkan sepatu bekas untuk program daur ulang massal. 
Alas Kaki,Penghancuran industri,Anorganik,Pabrik pengolahan limbah menghancurkan alas kaki menjadi serpihan untuk diproses lebih lanjut. 
Alas Kaki,Pameran seni instalasi,Anorganik Kreatif,Seniman memanfaatkan sepatu bekas sebagai bahan instalasi seni yang membawa pesan lingkungan. 
Sterofoam,Pengganti batu bata ringan,Anorganik Kreatif,Sterofoam dihancurkan dan dicampur semen untuk membuat bata ringan yang tahan panas. 
Sterofoam,Kompresi menjadi bahan bangunan,Anorganik,Teknologi modern memungkinkan sterofoam dikompresi menjadi papan padat untuk insulasi. 
Sterofoam,Pirolisis menjadi minyak sintetis,Anorganik Energi,Sterofoam dapat dikonversi menjadi minyak sintetis melalui proses pemanasan tanpa oksigen. 
Sterofoam,Pelarutan dengan bahan kimia pelarut,Anorganik,Sterofoam dapat dilarutkan menggunakan pelarut tertentu dan digunakan sebagai bahan perekat. 
Sterofoam,Penggunaan ulang sebagai pelindung kemasan,Anorganik,Potongan sterofoam bekas masih bisa digunakan kembali sebagai pelindung barang elektronik saat pengiriman. 
Sterofoam,Pengumpulan massal oleh komunitas lingkungan,Anorganik,Beberapa komunitas memiliki program pengumpulan sterofoam untuk pengolahan massal. 
Sterofoam,Campuran beton ringan,Anorganik,Serpihan sterofoam bisa dicampur dalam adonan beton sebagai pengganti agregat ringan. 
Sterofoam,Edukasi larangan penggunaan,Anorganik,Beberapa sekolah mengampanyekan pengurangan sterofoam melalui poster edukatif dan kampanye siswa. 
Sterofoam,Pembuatan mainan edukatif,Anorganik Kreatif,Sterofoam dipotong dan dihias untuk dijadikan mainan atau alat peraga edukatif. 
Sterofoam,Pembuatan dekorasi panggung,Anorganik Kreatif,Sterofoam sering digunakan sebagai bahan dasar dekorasi untuk panggung atau acara karena ringan dan mudah dibentuk. 
Kaca,Hancur sebagai agregat konstruksi,Anorganik,Kaca dihancurkan menjadi agregat halus untuk campuran aspal atau beton ringan. 
Kaca,Pembuatan mozaik seni,Anorganik Kreatif,Kepingan kaca berwarna digunakan untuk membuat karya seni mozaik pada dinding atau lantai. 
Kaca,Penampungan oleh industri daur ulang,Anorganik,Industri pengolahan kaca menerima botol kaca sebagai bahan baku sekunder. 
Kaca,Pembuatan paving block,Anorganik,Kaca yang dihancurkan dan dicampur semen dapat dijadikan paving block ramah lingkungan. 
Kaca,Hiasan rumah tangga,Anorganik Kreatif,Botol dan toples kaca dihias dan digunakan sebagai lampu hias atau vas bunga. 
Kaca,Laboratorium daur ulang kampus,Anorganik,Banyak universitas melakukan eksperimen pengolahan kaca untuk keperluan penelitian. 
Kaca,Kampanye pengurangan kaca sekali pakai,Anorganik,Kampanye lingkungan mengajak masyarakat mengganti produk kaca sekali pakai dengan alternatif tahan lama. 
Kaca,Daur ulang sebagai bahan keramik,Anorganik,Kaca bisa digabung dengan tanah liat untuk membuat keramik dengan tampilan unik. 
Kayu,Dijadikan kompos,Organik,Serpihan kayu hasil penghancuran dapat dijadikan bahan kompos setelah melalui proses fermentasi. 
Kayu,Pembakaran terkendali untuk energi panas,Organik Energi,Kayu sisa konstruksi dapat dibakar di tungku tertutup untuk menghasilkan energi panas dalam rumah tangga atau industri. 
Kayu,Pembuatan wood pellet,Organik Energi,Potongan kayu dihancurkan dan dipadatkan menjadi wood pellet sebagai bahan bakar biomassa yang ramah lingkungan. 
Kayu,Penghancuran menjadi mulsa taman,Organik,Serpihan kayu dijadikan mulsa yang berfungsi untuk menjaga kelembaban tanah dan menekan pertumbuhan gulma. 
Kayu,Material pendukung pertanian,Organik,Kayu bekas bisa dimanfaatkan sebagai ajir tanaman atau bingkai tempat tanam vertikal di kebun. 
Kayu,Edukasi konstruksi ramah lingkungan,Organik,Sekolah menggunakan limbah kayu untuk mengajarkan konstruksi sederhana dan daur ulang material. 
