Jenis Sampah,Metode Pengolahan,Deskripsi
Plastik,Ecobrick,Plastik non-daun ulang seperti pembungkus makanan dimasukkan ke dalam botol plastik padat untuk dijadikan bahan bangunan alternatif. 
Plastik,Pirolisis,Plastik yang tidak bisa didaur ulang dapat dikonversi menjadi bahan bakar cair melalui proses pirolisis tanpa oksigen. 
Plastik,Upcycling menjadi tas atau dompet,Kantong kresek dan bungkus kopi bekas dapat dijahit ulang menjadi produk fashion seperti tas belanja. 
Plastik,Penggunaan ulang langsung,Wadah plastik seperti ember dan galon bekas dapat digunakan kembali untuk keperluan rumah tangga. 
Plastik,Pengumpulan terpilah dan dijual ke bank sampah,Sampah plastik yang dipilah memiliki nilai ekonomi jika dijual ke bank sampah untuk proses daur ulang lebih lanjut. 
Plastik,Teknologi RDF (Refused-Derived Fuel),Sampah plastik dapat dicampur dengan sampah kertas untuk dijadikan bahan bakar alternatif pada industri semen. 
Plastik,Kompresi menjadi papan plastik,Sampah plastik dikompresi dan dicetak menjadi papan untuk furnitur atau partisi dinding alternatif. 
Plastik,Biodegradasi menggunakan bakteri pengurai plastik,Penelitian menunjukkan bahwa jenis tertentu bakteri dapat mengurai plastik tertentu dalam kondisi laboratorium terkendali. 
Alas Kaki,Daur ulang sol menjadi bahan playground,Sepatu bekas dihancurkan dan sol karetnya digunakan sebagai permukaan lapangan bermain atau jogging track. 
Alas Kaki,Upcycling menjadi pot tanaman,Sepatu lama digunakan sebagai pot tanaman unik untuk taman vertikal atau dekorasi taman rumah. 
Alas Kaki,Donasi untuk daur ulang,Beberapa organisasi menerima sepatu bekas untuk dipilah dan didaur ulang menjadi produk baru atau didonasikan. 
Alas Kaki,Produksi energi dari sol karet,Sol sepatu karet dihancurkan dan digunakan dalam pembakaran untuk menghasilkan energi pada insinerator tertentu. 
Alas Kaki,Komposisi ulang jadi bahan lantai karet,Sol sepatu bekas dapat digunakan kembali sebagai material lantai karet di tempat gym atau ruang olahraga. 
Alas Kaki,Pemisahan bahan tekstil dan karet,Sepatu dibongkar untuk memisahkan bahan karet dan kain sebelum didaur ulang sesuai jenisnya. 
Alas Kaki,Edukasi daur ulang kreatif,Proyek sekolah memanfaatkan sepatu bekas sebagai media edukasi untuk kreasi seni dan ekologi. 
Alas Kaki,Penampungan daur ulang komunitas,Komunitas warga mengumpulkan sepatu bekas untuk program daur ulang massal. 
Alas Kaki,Penghancuran industri,Pabrik pengolahan limbah menghancurkan alas kaki menjadi serpihan untuk diproses lebih lanjut. 
Alas Kaki,Pameran seni instalasi,Seniman memanfaatkan sepatu bekas sebagai bahan instalasi seni yang membawa pesan lingkungan. 
Sterofoam,Pengganti batu bata ringan,Sterofoam dihancurkan dan dicampur semen untuk membuat bata ringan yang tahan panas. 
Sterofoam,Kompresi menjadi bahan bangunan,Teknologi modern memungkinkan sterofoam dikompresi menjadi papan padat untuk insulasi. 
Sterofoam,Pirolisis menjadi minyak sintetis,Sterofoam dapat dikonversi menjadi minyak sintetis melalui proses pemanasan tanpa oksigen. 
Sterofoam,Pelarutan dengan bahan kimia pelarut,Sterofoam dapat dilarutkan menggunakan pelarut tertentu dan digunakan sebagai bahan perekat. 
Sterofoam,Penggunaan ulang sebagai pelindung kemasan,Potongan sterofoam bekas masih bisa digunakan kembali sebagai pelindung barang elektronik saat pengiriman. 
Sterofoam,Pengumpulan massal oleh komunitas lingkungan,Beberapa komunitas memiliki program pengumpulan sterofoam untuk pengolahan massal. 
Sterofoam,Campuran beton ringan,Serpihan sterofoam bisa dicampur dalam adonan beton sebagai pengganti agregat ringan. 
Sterofoam,Edukasi larangan penggunaan,Beberapa sekolah mengampanyekan pengurangan sterofoam melalui poster edukatif dan kampanye siswa. 
Sterofoam,Pembuatan mainan edukatif,Sterofoam dipotong dan dihias untuk dijadikan mainan atau alat peraga edukatif. 
Sterofoam,Pembuatan dekorasi panggung,Sterofoam sering digunakan sebagai bahan dasar dekorasi untuk panggung atau acara karena ringan dan mudah dibentuk. 
Kaca,Hancur sebagai agregat konstruksi,Kaca dihancurkan menjadi agregat halus untuk campuran aspal atau beton ringan. 
Kaca,Pembuatan mozaik seni,Kepingan kaca berwarna digunakan untuk membuat karya seni mozaik pada dinding atau lantai. 
Kaca,Penampungan oleh industri daur ulang,Industri pengolahan kaca menerima botol kaca sebagai bahan baku sekunder. 
Kaca,Pembuatan paving block,Kaca yang dihancurkan dan dicampur semen dapat dijadikan paving block ramah lingkungan. 
Kaca,Hiasan rumah tangga,Botol dan toples kaca dihias dan digunakan sebagai lampu hias atau vas bunga. 
Kaca,Laboratorium daur ulang kampus,Banyak universitas melakukan eksperimen pengolahan kaca untuk keperluan penelitian. 
Kaca,Kampanye pengurangan kaca sekali pakai,Kampanye lingkungan mengajak masyarakat mengganti produk kaca sekali pakai dengan alternatif tahan lama. 
Kaca,Daur ulang sebagai bahan keramik,Kaca bisa digabung dengan tanah liat untuk membuat keramik dengan tampilan unik. 
Kayu,Dijadikan kompos,Serpihan kayu hasil penghancuran dapat dijadikan bahan kompos setelah melalui proses fermentasi. 
Kayu,Pembakaran terkendali untuk energi panas,Kayu sisa konstruksi dapat dibakar di tungku tertutup untuk menghasilkan energi panas dalam rumah tangga atau industri. 
Kayu,Pembuatan wood pellet,Potongan kayu dihancurkan dan dipadatkan menjadi wood pellet sebagai bahan bakar biomassa yang ramah lingkungan. 
Kayu,Penghancuran menjadi mulsa taman,Serpihan kayu dijadikan mulsa yang berfungsi untuk menjaga kelembaban tanah dan menekan pertumbuhan gulma. 
Kayu,Material pendukung pertanian,Kayu bekas bisa dimanfaatkan sebagai ajir tanaman atau bingkai tempat tanam vertikal di kebun. 
Kayu,Edukasi konstruksi ramah lingkungan,Sekolah menggunakan limbah kayu untuk mengajarkan konstruksi sederhana dan daur ulang material. 
Kayu,Bahan dasar biochar,Limbah kayu dikarbonisasi pada suhu tinggi dan rendah oksigen untuk menghasilkan biochar yang menyuburkan tanah. 
Kayu,Penggunaan kembali untuk keperluan bangunan sementara,Kayu bekas sering digunakan kembali dalam proyek bangunan sementara seperti pagar proyek atau sekat kerja. 
Sampah Elektronik,Daur ulang logam mulia,Perangkat elektronik mengandung logam seperti emas dan tembaga yang dapat diekstraksi dan didaur ulang. 
Sampah Elektronik,Donasi perangkat bekas yang masih berfungsi,Gadget lama yang masih bisa digunakan dapat didonasikan ke lembaga pendidikan atau komunitas. 
